id,brand,car_model,type,desc,problem,datetime,status
524991,一汽-大众,探岳,2019款 征途版 280TSI 两驱 豪华型 国Ⅵ,一汽大众探岳中控导航死机黑屏希望厂家处理,"H134,",2020-09-22,信息审核
524987,一汽丰田,RAV4荣放,2020款 2.5L CVT 两驱 精英版 双擎,一汽丰田RAV4荣放漆面鼓包开裂希望厂家处理	,"H81,",2020-09-22,信息审核
524986,东风日产,轩逸,2020款 1.6L XL CVT 智享版,东风日产轩逸首保时4S店收费更换冷却液,"J306,",2020-09-22,信息审核
524981,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯透镜不通透 刹车有异响,"E43,H82,",2020-09-22,信息审核
524979,猎豹汽车,Mattu,2018款 1.6T GDI DCT 精英型,猎豹Mattu变速箱脱挡刹车时跑偏方向机异响,"B246,D59,E196,",2020-09-22,信息审核
524978,东风日产,轩逸,2020款 改款 1.6L XL CVT 悦享版,东风日产轩逸行驶中多次发动机突然熄火,"A14,",2020-09-22,信息审核
524977,比亚迪,比亚迪M6,2015款 2.4L 双离合 豪华型 7座,比亚迪M6行驶时变速箱顿挫 转向时有异响,"B19,D59,",2020-09-22,处理反馈
524976,东风雪铁龙,雪铁龙C4L,2016款 1.2T 自动 精英型,东风雪铁龙C4L转向抖动异响希望尽快处理,"D59,D80,",2020-09-22,处理反馈
524973,东风本田,本田CR-V,2017款 240TURBO 自动 两驱 风尚版,东风本田CR-V变速箱低速顿挫严重后轮偏磨,"B19,G245,",2020-09-22,信息审核
524970,北京现代,现代ix25,2017款 1.6L 自动 智能型,北京现代ix25启动机失灵无配件维修,"A44,N320,",2020-09-22,信息审核
524969,广汽本田,雅阁,2016款 2.0L CVT  舒适版,广汽本田雅阁原厂导航屏幕自动死机黑屏,"H134,",2020-09-22,处理反馈
524968,长安汽车,奔奔E-Star,2020款 心悦版,长安奔奔E-Star车辆未启动日行灯常亮,"Q322,",2020-09-22,信息审核
524967,上汽集团,锐腾,2016款 1.5TGI TST 豪华版,上汽名爵锐腾车门内饰板脱皮车机互联失效,"H168,H155,",2020-09-22,厂家受理
524964,广汽丰田,威兰达,2020款 2.0L CVT 四驱 豪华版,广汽丰田威兰达发动机排气管有异响,"H31,",2020-09-22,信息审核
524962,吉利汽车,帝豪GL,2018款 1.8L 自动 精英智联型,吉利帝豪GL变速箱顿挫异响 车门生锈,"B33,B19,H79,",2020-09-22,处理反馈
524960,宝沃汽车,宝沃BX5,2020款 20TGDI 自动 两驱先锋型,宝沃BX5行驶中脱挡厂家告知正常,"B246,I292,",2020-09-22,信息审核
524958,北京汽车,威旺M50F,2017款 1.5L 标准型,北汽威旺M50F后排座椅故障厂家没有配件,"H169,N318,",2020-09-22,厂家受理
524956,上汽大众,途观L,2017款 380TSI 四驱 豪华版,上汽大众途观L变速箱机电控制单元故障,"B96,B84,",2020-09-22,信息审核
524948,奇瑞新能源,瑞虎3xe,2018款 400 畅享版,奇瑞瑞虎3xe变速箱进水 转向失去助力,"B77,D112,",2020-09-22,信息审核
524947,东风日产,轩逸,2009款 1.6 XL 手动 豪华天窗版 新轩逸,东风日产轩逸中控仪表台开胶严重起泡,"H176,",2020-09-22,信息审核
524944,广汽本田,缤智,2020款 1.5L CVT 先锋版,广汽本田缤智4S店检修车辆后玻璃开裂,"I295,J299,",2020-09-22,处理反馈
524942,路虎进口,揽胜极光（进口）,2014款 2.0T 5门耀享版,进口路虎揽胜极光变速箱故障灯亮售后无配件,"B96,N318,",2020-09-22,信息审核
524941,上汽大众斯柯达,Yeti,2016款 1.4TSI DSG 创行版,斯柯达Yeti火花塞脱落导致缸体损坏,"A136,A173,I295,",2020-09-22,信息审核
524937,猎豹汽车,猎豹CS9,2017款 1.5L 手动 尊贵型,猎豹CS9中控互联功能已关闭无法操作,"H155,",2020-09-22,信息审核
524934,比亚迪,比亚迪G3,2010款 1.5 手动 鑫雅型,比亚迪G3车身多处生锈存在质量问题,"H79,N318,",2020-09-22,处理反馈
524932,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾韩泰轮胎裂纹影响行车安全,"F100,",2020-09-22,信息审核
524929,广汽本田,冠道,2017款 240TURBO CVT 两驱 舒享版,广汽本田冠道电瓶多次亏电要求厂家解决,"H146,J298,J300,",2020-09-22,处理反馈
524928,江淮汽车,嘉悦A5,2020款 1.5T CVT 超越型,江淮嘉悦A5车门把手断裂影响使用,"H233,",2020-09-22,处理反馈
524927,华晨中华,中华V7,2018款 280T DCT 豪华型 5座,华晨中华V7安全气囊故障灯亮存在质量问题,"H103,N318,",2020-09-22,信息审核
524926,东风本田,本田XR-V,2017款 1.8L EXi CVT 舒适版,东风本田XR-V天窗开关故障希望厂家处理问题,"H192,",2020-09-22,信息审核
524924,广汽本田,雅阁,2018款 2.0L 锐酷版 锐·混动 国VI,广汽本田雅阁排气管异响噪音大希望处理,"H31,",2020-09-22,处理反馈
524922,华晨中华,中华V5,2014款 1.5T 自动 两驱豪华型 5座,中华V5米其林轮胎裂纹越来越严重,"F100,",2020-09-22,信息审核
524920,上汽大众斯柯达,速派,2016款 TSI330 DSG 创行版,斯柯达速派变速箱机电单元故障希望处理,"B115,",2020-09-22,信息审核
524918,一汽-大众奥迪,奥迪Q5L,2018款 40 TFSI 荣享进取型 国V,一汽大众奥迪Q5L转速信号多次报警,"A34,A255,B19,",2020-09-22,信息审核
524910,上汽大众,朗逸,2017款 1.6L 自动 舒适版,上汽大众朗逸颠簸路面行驶左前方异响,"D59,",2020-09-22,信息审核
524908,东风日产,轩逸,2019款 1.6XV CVT 智联尊享版 国VI,东风日产轩逸发动机异响严重要求解决,"A9,",2020-09-22,处理反馈
524904,北京奔驰,奔驰C级,2018款 C 200 L 运动版,北京奔驰C级中控台饰板大面积开裂,"H168,",2020-09-22,信息审核
524903,上汽集团,名爵3,2014款 1.3L 手动 舒适版,上汽名爵3热车时离合器不回位希望厂家处理,"C267,",2020-09-22,厂家受理
524896,东风本田,INSPIRE,2019款 锐·混动 2.0L 净越版 国V,东风本田INSPIRE转向异响 轮胎吃胎,"D59,G245,",2020-09-22,信息审核
524889,一汽-大众,T-ROC探歌,2020款 280TSI DSG 两驱 进取型,一汽大众T-ROC探歌变速箱异响严重,"B33,",2020-09-22,处理反馈
524888,上汽大众,朗逸,2019款 朗逸启航 1.5L 自动 风尚版 国VI,上汽大众朗逸4S店销售库存车要求厂家处理,"M283,",2020-09-22,信息审核
524885,广汽丰田,凯美瑞,2011款 240G 2.4 自动 豪华周年纪念版,广汽丰田凯美瑞中控台出油反光要求解决	,"H176,",2020-09-22,信息审核
524884,广汽乘用车,传祺GA6,2019款 270T 自动 尊贵版,广汽传祺GA6安全带异常磨损要求尽快处理,"H118,",2020-09-22,处理反馈
524883,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国V,一汽大众探岳大灯透镜发白影响照明,"H82,",2020-09-22,处理反馈
524880,东风日产,奇骏,2014款 2.5L XL CVT 四驱 豪华版,东风日产奇骏空调不制冷存在质量问题,"H101,",2020-09-22,处理反馈
524879,一汽-大众奥迪,奥迪Q3,2019款 35 TFSI 进取动感型,一汽大众奥迪Q3 4S店疑似出售运损车，投诉未处理,"H,",2020-09-22,信息审核
524877,广汽丰田,雷凌,2017款 1.2T G CVT 精英版,广汽丰田雷凌转向卡滞沉重不回位,"D123,D156,",2020-09-22,信息审核
524874,一汽丰田,亚洲龙,2019款 双擎 2.5L XLE 尊贵版 国Ⅵ,一汽丰田亚洲龙方向跑偏多次维修无效果,"G117,",2020-09-22,信息审核
524872,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 进取型 国VI,一汽大众奥迪A4L变速箱顿挫异响 防冻液减少,"A191,B33,B19,",2020-09-22,信息审核
524861,广汽本田,冠道,2017款 240TURBO CVT 两驱 尊享版,广汽本田冠道胎压监测无故报警4S店无法解决,"H203,",2020-09-22,处理反馈
524853,BEIJING汽车,绅宝X65,2015款 2.0T  自动 豪华型,绅宝X65经销商销售未告知贷款解压程序,"I295,I293,L313,",2020-09-22,信息审核
524850,上汽大众,凌渡,2017款 280TSI DSG 豪华版,上汽大众凌渡离合器打滑变速箱顿挫	,"B19,C16,",2020-09-22,信息审核
524846,奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 豪华型,奇瑞瑞虎8刹车异响4S店多次维修未解决,"E43,J298,",2020-09-22,信息审核
524845,长安汽车,长安CS55 PLUS,2020款 1.5T 自动 炫色型,长安CS55 PLUS车身漆面起泡 日行灯不亮	,"H81,H82,",2020-09-22,信息审核
524844,江淮汽车,瑞风S3,2014款 1.5L 手动 豪华型,江淮瑞风S3打方向不回位转向卡滞严重,"D123,D265,",2020-09-22,处理反馈
524841,南京依维柯,依维柯欧胜,2018款 2.3T 长轴 短悬 高顶 厢式车 F1A,依维柯欧胜高压油泵漏油严重4S店不予保修,"H78,I297,",2020-09-22,信息审核
524840,吉利汽车,博瑞,2015款 1.8T 旗舰型,吉利博瑞行驶中转向抱死要求解决,"D123,",2020-09-22,处理反馈
524839,广汽丰田,汉兰达,2018款 2.0T 四驱 豪华版 7座 国VI,广汽丰田汉兰达变速箱顿挫要求给予解决,"B19,",2020-09-22,信息审核
524834,海马汽车,海马8S,2019款 1.6TGDI 自动 炫版,海马8S驾驶模式无法切换要求解决,"B115,",2020-09-22,信息审核
524832,东风日产,奇骏,2020款 2.0L XL ITS CVT 2WD 智联舒适版,东风日产奇骏购车时承诺不兑现希望处理,"L313,",2020-09-22,处理反馈
524831,东风小康,风光330,2014款 1.5L 实用型,东风风光330漆面起泡 油箱盖生锈希望处理,"H79,H81,",2020-09-22,处理反馈
524830,长安汽车,长安CS55,2017款 1.5T 自动 炫动型,长安CS55车内异味严重希望尽快处理,"H185,",2020-09-22,信息审核
524829,凯翼汽车,凯翼X3,2017款 1.6L 手动 发烧友版 国V,凯翼X3中控屏黑屏 空调启停异常,"H134,H101,",2020-09-22,信息审核
524827,众泰汽车,大迈X7,2018款 2.0T 自动 尊贵型,众泰大迈X7轮胎吃胎偏磨希望尽快处理	,"G245,",2020-09-22,信息审核
524825,一汽-大众,宝来,2020款 1.5L 自动 舒适型,一汽大众宝来急加速行驶时发动机有异响,"A9,",2020-09-22,处理反馈
524821,上汽集团,锐腾,2017款 20T 手动 豪华版,上汽名爵锐腾刹车异响多次维修未解决,"E43,",2020-09-22,处理反馈
524817,东风日产,轩逸,2016款 1.6XV CVT 智享版,东风日产轩逸发动机冷却风扇故障导致水温高,"A191,",2020-09-22,处理反馈
524815,奇瑞汽车,瑞虎8,2020款 290TGDI 自动 精英版,奇瑞瑞虎8灯光照射区域小两侧盲区过大,"H82,",2020-09-22,信息审核
524811,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国V,一汽大众探岳前大灯雾化存在安全隐患,"H82,",2020-09-22,处理反馈
524810,昌河铃木,利亚纳A6,2014款 1.4L 手动 畅想型 三厢,昌河铃木利亚纳A6 0BD系统无法连接数据,"H104,",2020-09-22,信息审核
524809,君马汽车,君马S70,2018款 1.5T 自动 豪华型 7座,君马S70发动机熄火且无法启动影像安全,"A14,A44,",2020-09-22,信息审核
524808,东风标致,标致5008,2017款 350THP 精英版 7座,东风标致5008发动机怠速不规则抖动,"A24,",2020-09-22,处理反馈
524807,上汽大众,朗逸,2011款 1.4TSI DSG品轩版,上汽大众朗逸电脑检测插头设计缺陷,"Q322,",2020-09-22,信息审核
524805,东风日产,奇骏,2016款 2.0L CVT 智享版 4WD,东风日产奇骏变速箱低速抖动异响,"B33,B95,",2020-09-21,处理反馈
524802,上汽大众,朗逸,2013款 1.6L  自动 风尚版,上汽大众朗逸车内异味严重希望厂家解决,"H185,",2020-09-21,信息审核
524801,吉利汽车,博瑞,2015款 2.4L 豪华型,吉利博瑞发动机烧机油 变速箱加速无力,"A63,B96,B334,",2020-09-21,处理反馈
524797,广汽丰田,雷凌,2017款 185T CVT 精英版 国V 改款,广汽丰田雷凌普利司通轮胎开裂质量差,"F100,",2020-09-21,信息审核
524790,一汽丰田,卡罗拉,2019款 1.2T S-CVT GL先锋版,一汽丰田卡罗拉保险杠与车身存在色差,"H201,I295,",2020-09-21,信息审核
524788,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动耐克森轮胎掉皮4S店不予保修,"F186,I297,",2020-09-21,处理反馈
524784,上汽大众,朗逸,2017款 1.6L 自动 风尚版,上汽大众朗逸韩泰轮胎开裂发动机异响,"A9,A37,F100,Q350,",2020-09-21,信息审核
524783,上汽集团,名爵6新能源,2019款 50T Trophy 5秒版,上汽名爵6新能源蓄电池亏电要求解决,"H146,",2020-09-21,处理反馈
524782,江西五十铃,铃拓,2020款 2.5T 两驱 手动 领航版 国VI JE4D25Q6A,五十铃铃拓导航无法使用水箱漏水,"A163,A37,A191,H21,",2020-09-21,信息审核
524780,一汽-大众奥迪,奥迪Q5L,2020款 40 TFSI 荣享时尚型,一汽大众奥迪Q5L行驶中变速箱报警,"B96,",2020-09-21,信息审核
524775,江铃福特,领界,2019款 EcoBoost 145 CVT 铂领型 国V,江铃福特领界车身生锈 自动启停功能失效,"H79,H81,H202,H263,",2020-09-21,处理反馈
524774,一汽丰田,卡罗拉,2018款 1.2T S-CVT GL-i智辉版,一汽丰田卡罗拉中控屏失灵转向沉重,"D156,H134,",2020-09-21,信息审核
524773,东风本田,本田CR-V,2019款 240TURBO CVT 两驱 风尚版 国V,东风本田CR-V两后轮胎吃胎异常磨损,"G245,",2020-09-21,信息审核
524771,广汽菲克Jeep,自由侠,2017款 180T 自动 劲能版,广汽菲克Jeep自由侠行驶时变速箱顿挫异响,"B33,B19,B95,",2020-09-21,信息审核
524770,猎豹汽车,猎豹CS9,2017款 1.5L CVT 风尚型,猎豹CS9中控屏失灵导致空调无法使用,"H134,",2020-09-21,信息审核
524768,东风标致,标致408,2014款 1.8L 自动 领先版,东风标致408严重烧机油突然熄火,"A63,A14,",2020-09-21,处理反馈
524766,华晨宝马,宝马X1,2016款 sDrive18Li 时尚型,华晨宝马X1启动后发动机转速不稳定,"A35,",2020-09-21,信息审核
524762,东风日产,奇骏,2020款 2.0L XL Premium CVT 2WD 智联尊享版,东风日产奇骏发动机故障灯亮维修后未解决,"A34,",2020-09-21,处理反馈
524761,上汽大众,朗逸,2018款 280TSI DSG 舒适版 国V,上汽大众朗逸涡轮增压器损坏发动机抖动,"A24,A189,",2020-09-21,信息审核
524760,广汽本田,皓影,2020款 240TURBO CVT 两驱 精英版,广汽本田皓影车门玻璃下方有异响,"H72,",2020-09-21,处理反馈
524759,东风标致,标致408,2013款 2.0 自动 舒适版,东风标致408车内有严重异味影响身体健康,"H185,",2020-09-21,处理反馈
524754,东风日产,劲客,2017款 1.5L CVT 智行版,东风日产劲客A柱装饰贴纸老化发白,"J303,",2020-09-21,处理反馈
524752,长安汽车,长安CS75 PHEV,2018款 1.5T PHEV 进取型,长安CS75 PHEV导航黑屏发动机故障灯亮,"A34,H134,H343,",2020-09-21,信息审核
524749,上汽大众,途观L,2017款 330TSI 两驱 舒适版,上汽大众途观L变速箱处于紧急模式,"B115,",2020-09-21,信息审核
524740,广汽丰田,凯美瑞,2009款 240G 自动 豪华版,广汽丰田凯美瑞仪表台开裂老化出油,"H176,",2020-09-21,信息审核
524738,上汽大众斯柯达,柯米克,2018款 1.5L 自动 舒适版 国VI,斯柯达柯米克发动机异响希望更换发动机,"A9,",2020-09-21,信息审核
524735,一汽-大众奥迪,奥迪A4L,2017款 2.0T 双离合 时尚型,一汽大众奥迪A4L变速箱异响希望厂家处理,"B33,",2020-09-21,信息审核
524734,北京奔驰,奔驰A级,2020款 改款 A 200 L 运动轿车动感型,北京奔驰A级发动机和变速箱连接处漏油,"A12,B22,",2020-09-21,信息审核
524731,沃尔沃亚太,沃尔沃S60,2021款 T4 智逸豪华版,沃尔沃亚太S60怠速车身共振异响,"A9,H268,",2020-09-21,信息审核
524729,吉利汽车,帝豪GL,2018款 1.8L 自动 精英智联型,吉利帝豪GL经销商承诺维修返点不兑现,"L314,",2020-09-21,处理反馈
524726,一汽丰田,卡罗拉,2008款 1.8 手动 GL-i 天窗特别版,一汽丰田卡罗拉中控仪表台开裂有刺激性味道,"H185,H176,",2020-09-21,信息审核
524716,北京现代,领动,2020款 1.5L CVT 智炫·精英型,北京现代领动气囊电脑配件全国没货,"N318,",2020-09-21,信息审核
